epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.88 9.38 11.1 0 0 0
1: 28.306825447570333 28.48025895140665 28.201726342710998 34.88 34.72 35.54 100.0 100.0 100.0
2: 36.268382352941174 35.75727301790281 36.84382992327366 40.06 39.22 40.8 100.0 100.0 100.0
3: 39.058503836317136 38.767583120204606 39.68630115089514 42.18 40.98 42.58 100.0 100.0 100.0
4: 40.433184143222505 40.86197250639386 41.04299872122762 43.54 42.52 44.68 100.0 100.0 100.0
5: 41.80546675191816 42.25703324808184 42.27861253196931 43.7 43.6 43.74 100.0 100.0 100.0
6: 42.8952205882353 43.64769820971867 43.31162084398977 45.16 45.56 44.98 100.0 100.0 100.0
7: 44.23913043478261 44.920076726342714 44.30986253196931 44.96 45.34 46.26 100.0 100.0 100.0
8: 45.312899616368284 45.66576086956522 45.11468989769821 45.32 46.14 45.98 100.0 100.0 100.0
9: 45.954683503836314 46.83783567774936 46.09015345268542 46.22 46.5 46.46 100.0 100.0 100.0
10: 46.790281329923275 47.708599744245525 47.084798593350385 46.66 45.8 45.9 100.0 100.0 100.0
11: 48.25127877237852 49.115648976982094 48.267263427109974 47.74 47.66 47.88 100.0 100.0 100.0
12: 49.301070971867006 49.920076726342714 49.26910166240409 47.38 47.64 47.84 100.0 100.0 100.0
13: 50.00959079283887 50.762468030690535 50.279331841432224 48.04 47.92 47.64 100.0 100.0 100.0
14: 50.921515345268546 51.7275415601023 50.94269501278772 48.22 48.34 47.02 100.0 100.0 100.0
15: 51.6951726342711 52.45644181585678 51.57289002557545 49.9 49.12 47.58 100.0 100.0 100.0
16: 52.244645140664964 53.360773657289 52.37012468030691 49.18 48.14 47.88 100.0 100.0 100.0
17: 53.48945012787724 54.19437340153453 53.46027813299233 48.98 48.54 47.32 100.0 100.0 100.0
18: 54.17399296675192 55.03276854219949 54.20716112531969 48.22 49.2 48.08 100.0 100.0 100.0
19: 54.735054347826086 55.61421035805627 55.051150895140665 49.4 49.5 48.44 100.0 100.0 100.0
20: 55.79323849104859 56.4002557544757 55.97706202046036 49.18 50.04 48.54 100.0 100.0 100.0
21: 56.179667519181585 56.83224104859335 56.654411764705884 49.06 48.66 47.92 100.0 100.0 100.0
22: 57.031649616368284 57.86045396419437 57.04044117647059 49.42 50.66 48.54 100.0 100.0 100.0
23: 57.62148337595908 58.369565217391305 58.23769181585678 49.0 49.26 48.1 100.0 100.0 100.0
24: 58.38195332480819 58.70804028132992 58.41592071611253 49.62 49.94 48.0 100.0 100.0 100.0
25: 59.14162404092072 59.63954603580563 59.321851023017906 48.62 50.42 48.1 100.0 100.0 100.0
26: 59.52445652173913 59.88531010230179 59.73265664961637 49.3 50.26 48.4 100.0 100.0 100.0
27: 60.091911764705884 60.702525575447574 60.52549552429667 49.32 50.72 48.56 100.0 100.0 100.0
28: 60.59103260869565 61.16927749360614 60.83200127877238 49.74 49.16 48.64 100.0 100.0 100.0
29: 61.04779411764706 61.72234654731458 61.45460358056266 48.82 50.34 48.04 100.0 100.0 100.0
30: 61.845428388746804 62.513986572890026 61.85421994884911 49.38 50.62 48.64 100.0 100.0 100.0
31: 61.956122122762146 62.44325447570333 62.35334079283887 49.32 49.52 49.02 100.0 100.0 100.0
32: 62.744565217391305 63.38115409207161 63.091831841432224 50.36 49.88 48.08 100.0 100.0 100.0
33: 63.439098465473144 63.5701726342711 63.766384271099746 50.14 50.84 48.5 100.0 100.0 100.0
34: 64.1064578005115 64.17718989769821 64.13483056265984 49.98 49.9 48.78 100.0 100.0 100.0
35: 64.29667519181585 64.29108056265984 64.2451246803069 49.06 49.94 47.64 100.0 100.0 100.0
36: 64.6315537084399 64.6966911764706 64.80099104859335 50.06 50.16 48.78 100.0 100.0 100.0
37: 65.24256713554988 65.31689578005115 65.35286125319693 49.96 50.1 48.82 100.0 100.0 100.0
38: 65.68334398976982 65.61780690537084 65.75047953964194 49.28 49.78 48.06 100.0 100.0 100.0
39: 66.0525895140665 66.04539641943734 66.11612851662404 49.32 49.16 48.5 100.0 100.0 100.0
40: 66.13930626598466 66.43062659846548 66.62124360613811 49.92 49.14 48.72 100.0 100.0 100.0
41: 66.90656969309462 66.68278452685422 66.97370524296676 49.84 49.66 48.42 100.0 100.0 100.0
42: 66.94013746803068 67.31497762148338 67.43686061381074 50.08 50.62 48.38 100.0 100.0 100.0
43: 67.31138107416879 67.66384271099744 67.89681905370844 49.44 49.48 48.0 100.0 100.0 100.0
44: 68.00551470588235 68.1102141943734 67.92199488491049 48.5 49.98 48.14 100.0 100.0 100.0
45: 68.28005115089515 68.42231457800511 68.1158088235294 49.06 50.64 48.46 100.0 100.0 100.0
