epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 11.98 10.98 10.48 0 0 0
1: 40.32169117647059 40.798833120204606 41.06337915601023 47.3 46.94 47.9 100.0 100.0 100.0
2: 51.39705882352941 51.51294757033248 51.55250959079284 52.5 55.88 53.12 100.0 100.0 100.0
3: 56.092950767263424 56.01902173913044 56.247202685421996 57.38 57.74 57.3 100.0 100.0 100.0
4: 60.34087276214834 60.04235933503836 60.24536445012788 58.4 59.34 59.84 100.0 100.0 100.0
5: 58.55378836317136 58.11820652173913 57.910406010230176 51.78 55.46 55.94 100.0 100.0 100.0
6: 60.00959079283887 59.926070971867006 59.93965792838875 58.38 57.42 60.72 100.0 100.0 100.0
7: 62.28300831202046 61.9221547314578 61.720348465473144 55.86 62.46 54.76 100.0 100.0 100.0
8: 64.1096547314578 63.68646099744245 63.245684143222505 62.72 57.98 61.14 100.0 100.0 100.0
9: 65.52869245524296 65.37404092071611 65.04675511508951 64.58 63.38 65.34 100.0 100.0 100.0
10: 67.28620524296676 66.84942455242967 67.24184782608695 66.8 63.26 64.22 100.0 100.0 100.0
11: 68.79995204603581 68.58216112531969 68.35238171355499 64.58 64.54 64.28 100.0 100.0 100.0
12: 70.21059782608695 69.81977301790282 69.93446291560102 67.56 66.16 66.48 100.0 100.0 100.0
13: 71.94213554987212 71.33391943734016 71.17167519181585 66.94 67.14 65.58 100.0 100.0 100.0
14: 72.8272858056266 72.54156010230179 72.20028772378517 68.02 66.1 66.92 100.0 100.0 100.0
15: 73.99256713554988 73.32360933503837 73.76398657289002 67.76 68.34 67.04 100.0 100.0 100.0
16: 75.11149296675192 74.83935421994885 74.78980179028133 68.32 66.88 67.04 100.0 100.0 100.0
17: 76.0729699488491 75.63858695652173 75.84798593350384 68.46 68.2 68.12 100.0 100.0 100.0
18: 76.98809143222506 76.75391624040921 76.36468989769821 67.02 68.2 69.18 100.0 100.0 100.0
19: 77.85605818414322 77.3585358056266 77.54036125319693 68.66 68.48 67.82 100.0 100.0 100.0
20: 78.4814578005115 78.09902493606138 78.33000319693095 68.26 68.96 67.42 100.0 100.0 100.0
21: 79.31226023017904 79.00775255754476 78.80914322250639 69.3 68.6 69.96 100.0 100.0 100.0
22: 79.84574808184144 79.63355179028133 79.56761508951406 67.9 65.36 69.98 100.0 100.0 100.0
23: 80.18781969309462 80.13786764705883 80.46115728900256 68.82 68.86 68.12 100.0 100.0 100.0
24: 81.15409207161126 80.68813938618926 80.55946291560102 69.5 68.54 68.6 100.0 100.0 100.0
25: 81.5625 81.23601342710998 81.43861892583121 68.06 66.66 68.84 100.0 100.0 100.0
26: 81.96571291560102 81.83903452685422 81.41064578005115 68.4 68.78 69.64 100.0 100.0 100.0
27: 82.46363491048594 82.07960358056266 82.1994884910486 67.6 69.34 68.6 100.0 100.0 100.0
28: 82.9863331202046 82.76814258312021 82.55834398976982 68.86 68.56 68.76 100.0 100.0 100.0
29: 83.08983375959079 83.24448529411765 83.0127078005115 69.4 67.68 68.86 100.0 100.0 100.0
30: 83.7855658567775 83.43030690537084 83.61173273657289 69.08 68.06 69.6 100.0 100.0 100.0
31: 83.87428069053709 83.66648017902813 83.95300511508951 67.82 68.58 67.94 100.0 100.0 100.0
32: 84.4041719948849 84.04611572890026 83.90864769820972 69.28 68.92 67.92 100.0 100.0 100.0
33: 84.45931905370844 84.454523657289 84.59239130434783 69.38 68.46 68.7 100.0 100.0 100.0
34: 84.52525575447571 84.91568094629156 84.73185741687979 69.08 68.28 69.2 100.0 100.0 100.0
35: 85.19381393861893 85.03396739130434 84.7170716112532 69.5 68.06 69.68 100.0 100.0 100.0
36: 85.54587595907928 85.24416560102301 85.12428069053709 68.66 66.36 69.32 100.0 100.0 100.0
37: 85.62699808184144 85.38523017902813 85.62539961636828 68.08 66.8 67.78 100.0 100.0 100.0
38: 85.8487851662404 85.80882352941177 85.57344948849105 68.68 68.9 69.64 100.0 100.0 100.0
39: 86.09694693094629 85.83839514066496 85.9522858056266 69.0 67.12 69.6 100.0 100.0 100.0
40: 86.07776534526855 85.22178708439898 85.72010869565217 69.04 69.08 68.6 100.0 100.0 100.0
41: 86.21843030690538 86.6156489769821 86.0406010230179 68.1 69.42 69.3 100.0 100.0 100.0
42: 86.48137787723785 86.81186061381074 86.23960997442455 68.34 68.98 70.04 100.0 100.0 100.0
43: 86.61804667519182 86.78708439897699 86.5121483375959 69.36 68.14 69.64 100.0 100.0 100.0
44: 86.90856777493606 87.07480818414322 86.2975543478261 70.06 69.14 69.52 100.0 100.0 100.0
45: 87.0404411764706 87.23705242966751 86.97010869565217 68.96 68.94 68.32 100.0 100.0 100.0
46: 87.50319693094629 87.32057225063939 87.15473145780051 69.42 69.3 69.58 100.0 100.0 100.0
47: 87.16352301790282 87.29100063938618 87.04563618925832 70.16 68.66 69.86 100.0 100.0 100.0
48: 87.65625 87.35374040920716 86.7894820971867 68.08 68.72 68.0 100.0 100.0 100.0
49: 87.37771739130434 87.5411604859335 87.57033248081841 69.04 69.58 68.96 100.0 100.0 100.0
