epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.88 9.38 11.1 0 0 0
1: 28.35637787723785 28.502237851662404 28.341192455242968 34.98 34.78 36.1 100.0 100.0 100.0
2: 36.25 35.72969948849105 36.73233695652174 39.48 39.78 40.44 100.0 100.0 100.0
3: 39.08687659846547 38.60374040920716 39.391384271099746 41.76 41.48 41.96 100.0 100.0 100.0
4: 40.24496483375959 40.77046035805627 40.677349744245525 42.96 42.32 42.72 100.0 100.0 100.0
5: 39.185581841432224 39.356218030690535 39.629156010230176 41.54 41.2 40.9 100.0 100.0 100.0
6: 40.40880754475703 40.734894501278774 40.73729219948849 42.22 42.4 42.32 100.0 100.0 100.0
7: 41.16568094629156 41.41584079283887 41.468190537084396 40.5 38.78 41.62 100.0 100.0 100.0
8: 42.17750959079284 42.61029411764706 42.34135230179028 43.18 44.34 41.86 100.0 100.0 100.0
9: 42.99472506393862 43.27365728900256 42.68742007672634 44.0 43.22 44.2 100.0 100.0 100.0
10: 43.74000959079284 44.18518222506394 44.029331841432224 44.18 44.48 42.44 100.0 100.0 100.0
11: 44.451326726342714 45.41000639386189 44.87731777493606 44.18 44.06 44.5 100.0 100.0 100.0
12: 45.35445971867008 46.13091432225064 45.71491368286445 43.44 44.02 44.42 100.0 100.0 100.0
13: 45.73289641943734 46.6332320971867 46.317934782608695 44.56 45.92 45.22 100.0 100.0 100.0
14: 46.279571611253196 47.15473145780051 47.22746163682864 46.86 43.58 44.58 100.0 100.0 100.0
15: 47.06281969309463 48.02909207161125 47.75815217391305 46.64 46.62 45.24 100.0 100.0 100.0
16: 47.80011189258312 48.5613810741688 48.33280051150895 45.82 46.12 46.32 100.0 100.0 100.0
17: 47.86445012787724 49.20556265984655 48.851502557544755 46.28 45.16 45.38 100.0 100.0 100.0
18: 48.60374040920716 49.60597826086956 49.45212595907928 46.94 45.22 46.84 100.0 100.0 100.0
19: 49.33104219948849 49.896099744245525 50.25575447570333 46.38 45.96 46.9 100.0 100.0 100.0
20: 49.723065856777495 50.56465792838875 50.63658887468031 45.92 44.18 45.06 100.0 100.0 100.0
21: 50.400815217391305 51.39426150895141 51.15289322250639 46.38 46.42 46.38 100.0 100.0 100.0
22: 50.879156010230176 51.49656329923274 51.68518222506394 45.74 46.64 46.72 100.0 100.0 100.0
23: 51.23201726342711 52.01446611253197 52.23585358056266 46.58 46.46 46.2 100.0 100.0 100.0
24: 51.940537084398976 52.5411604859335 52.90121483375959 47.46 46.12 46.5 100.0 100.0 100.0
25: 52.34694693094629 52.903212915601024 53.15856777493606 46.84 45.82 45.6 100.0 100.0 100.0
26: 52.66703964194373 53.52141943734016 53.673673273657286 48.32 47.34 47.02 100.0 100.0 100.0
27: 53.46307544757033 54.30986253196931 54.265105498721226 47.0 46.38 47.34 100.0 100.0 100.0
28: 53.47746163682864 54.63475063938619 54.62116368286445 47.16 46.16 46.32 100.0 100.0 100.0
29: 54.135230179028135 54.757832480818415 54.969229539641944 47.7 47.22 47.04 100.0 100.0 100.0
30: 54.705882352941174 55.25095907928389 55.40121483375959 48.3 47.7 46.9 100.0 100.0 100.0
31: 55.06753516624041 55.59862531969309 55.837196291560105 48.14 47.18 48.12 100.0 100.0 100.0
32: 55.421195652173914 56.36468989769821 56.32912404092072 47.5 48.1 46.72 100.0 100.0 100.0
33: 55.628996163682864 56.252797314578004 56.41144501278772 48.02 48.2 46.44 100.0 100.0 100.0
34: 56.351502557544755 56.40105498721228 56.86700767263427 48.64 47.24 47.86 100.0 100.0 100.0
35: 56.27837276214834 56.808264066496164 57.03244884910486 48.66 47.78 47.42 100.0 100.0 100.0
36: 56.839833759590796 57.35334079283887 57.4528452685422 48.56 47.18 47.96 100.0 100.0 100.0
37: 57.18989769820972 57.654251918158565 57.99312659846547 48.18 48.02 46.88 100.0 100.0 100.0
38: 57.07960358056266 57.68222506393862 58.30962276214834 48.64 47.0 47.1 100.0 100.0 100.0
39: 57.745764066496164 57.97234654731458 58.557384910485936 48.62 47.78 47.22 100.0 100.0 100.0
40: 58.17695012787724 58.50583439897698 58.982576726342714 48.86 47.14 46.38 100.0 100.0 100.0
41: 58.66608056265984 58.52421675191816 58.57936381074169 47.66 48.3 47.04 100.0 100.0 100.0
42: 58.64570012787724 58.58935421994885 59.32584718670077 48.44 47.14 46.82 100.0 100.0 100.0
43: 59.02893222506394 59.17599104859335 59.53244884910486 49.06 48.38 47.24 100.0 100.0 100.0
44: 59.18957800511509 59.34223145780051 59.8761189258312 48.04 48.64 46.86 100.0 100.0 100.0
45: 59.23233695652174 59.705882352941174 59.58919437340153 48.62 47.22 47.48 100.0 100.0 100.0
46: 59.5164641943734 59.388986572890026 60.40121483375959 48.72 47.96 46.86 100.0 100.0 100.0
47: 60.094309462915604 59.987212276214834 60.5866368286445 49.0 46.92 46.24 100.0 100.0 100.0
48: 60.51190856777494 60.59462915601023 60.782049232736576 48.56 47.24 47.18 100.0 100.0 100.0
49: 60.35845588235294 60.69253516624041 60.77165920716113 49.1 46.66 47.38 100.0 100.0 100.0
