epoch train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 10.03 10.39 0 0
1 12.91480179028133 12.563139386189258 33.45 30.63 28.679808512033585 28.6429798675323
2 14.23113810741688 14.042519181585678 31.44 29.84 29.26987503558274 29.268606193274458
3 14.953244884910486 14.941256393861893 37.02 36.21 29.82046070657475 29.861295454796288
4 15.281729539641944 15.222186700767264 39.09 36.54 30.372803794181348 30.33973209473695
5 15.813219309462916 15.56425831202046 42.8 41.42 31.099718743395318 31.1314051386152
6 16.238411125319693 16.128916240409207 42.84 43.16 31.835636471464323 31.83796151215254
7 16.553708439897697 16.479779411764707 44.64 43.76 32.3811462720498 32.366937690066266
8 17.133951406649615 17.004076086956523 45.28 43.95 33.106245842818716 33.09163130134996
9 17.395300511508953 17.24704283887468 46.65 44.0 33.918261997893744 33.94333596609996
10 17.75415601023018 17.683024296675192 48.56 47.5 34.246730981395096 34.25174577503637
11 17.98992966751918 18.08343989769821 48.42 44.68 34.30878905270545 34.33135562409105
12 18.603740409207163 18.267263427109974 50.26 49.04 34.3275161727095 34.299934807682654
13 18.65688938618926 18.49384590792839 49.07 47.11 34.50193696404393 34.48187778947896
14 18.98857097186701 18.907049232736572 53.95 53.92 34.543544080036106 34.538529286394855
15 19.162004475703323 19.19277493606138 55.84 54.11 34.53954791635326 34.524503535429496
16 19.58879475703325 19.441735933503836 55.61 53.81 34.60967667117998 34.59361366029789
17 19.739849744245525 19.7258631713555 52.52 54.2 34.57911777242867 34.61171393109674
18 19.807384910485933 19.66272378516624 54.98 54.28 34.674007070859055 34.66899227721778
19 20.174632352941178 20.185421994884912 57.06 56.14 34.72705418484531 34.73457637530718
20 18.634910485933503 18.662484015345267 52.78 50.12 34.762061663977406 34.91094084843208
21 18.67127557544757 18.933423913043477 49.06 51.93 34.31359995137222 34.21435173996956
22 19.23673273657289 19.293478260869566 57.49 53.72 34.0962537495663 34.070658305602514
23 19.70108695652174 19.619165601023017 58.32 54.23 34.02633224278112 33.88657303292874
24 20.027573529411764 19.930466751918157 57.68 58.98 33.55132506375858 33.351603702139776
25 20.13147378516624 20.107496803069054 56.23 53.37 33.16180265120765 33.1747509683096
26 20.444373401534527 20.408807544757032 57.42 56.74 33.605312918150545 33.33795607999745
27 20.439578005115088 20.39002557544757 57.22 59.04 33.676401104165976 33.4671868191727
28 20.762867647058822 20.7193094629156 56.04 58.71 34.09140071123535 34.196582622771466
29 20.827205882352942 20.991048593350385 59.6 59.63 32.84681801106085 33.026597645961225
30 21.092950767263428 21.130115089514067 60.04 60.67 33.73192035935964 33.576484878929634
31 21.077365728900254 21.13531010230179 61.09 61.47 33.18629174770256 33.2591470506487
32 21.12851662404092 21.159686700767264 60.96 60.87 33.23647962547194 33.64216398426716
33 21.503356777493607 21.415041560102303 60.24 61.11 33.984150937160564 34.13035311080318
34 21.58727621483376 21.607257033248082 60.5 60.95 33.41366092278002 33.43651397347199
35 21.790281329923275 21.634031329923275 61.46 59.9 33.223954508115725 33.42332552770842
36 21.72314578005115 21.67679028132992 58.19 60.78 33.07184757802843 33.29984654105689
37 21.743925831202045 21.802269820971865 62.63 62.83 33.130842481993945 33.25045772734265
38 22.03364769820972 21.845028772378516 62.83 62.05 33.19199041965373 33.32324488455898
39 21.93374360613811 21.717151534526856 62.15 61.71 33.11969276233152 33.08666420702451
40 21.946131713554987 22.039242327365727 61.17 60.08 33.902967757747355 34.184919707761374
41 22.258631713554987 22.10517902813299 62.77 62.66 33.34705413231941 33.2786698035296
42 22.326566496163682 22.404092071611252 64.35 64.12 32.7698777536915 32.99433622476303
43 22.46523337595908 22.641064578005114 64.44 63.6 32.89340659856541 33.06909664587869
44 22.447650255754475 22.5619405370844 63.32 63.78 32.32292049301742 32.67579382720012
45 22.578324808184142 22.48201726342711 64.07 63.87 32.66759351141722 32.691023667161666
46 22.880434782608695 22.959159207161125 64.42 64.04 31.971727052291932 31.489347855985955
47 22.64945652173913 22.646259590792837 64.04 64.51 32.489857898097526 32.54423118284686
48 22.875239769820972 22.95636189258312 62.25 62.0 33.077438121704844 33.25411985948526
49 23.03268861892583 22.996323529411764 65.3 65.92 32.06449247137383 32.236760824296525
50 22.895220588235293 22.876039002557544 66.71 66.03 32.29630053419273 32.429876017191184
51 22.999520460358056 23.043478260869566 64.62 64.32 32.02395276065891 32.05547036444896
52 22.99352621483376 23.02389705882353 63.76 64.65 32.59176768902673 32.57718562051003
53 23.264066496163682 23.143382352941178 66.16 65.58 32.379983378477704 32.43865384206885
54 23.3667679028133 23.37915601023018 64.91 65.55 32.10664535762103 32.38200007043984
55 23.254475703324808 23.503037084398976 64.99 65.6 32.3261276570577 32.443419352350695
56 23.36556905370844 23.6496962915601 65.83 65.45 31.737938314255622 31.8204546270152
57 23.599744245524295 23.479859335038363 65.66 65.97 31.321840410390113 31.14643401784985
58 23.232496803069054 23.34758631713555 65.25 62.29 31.958739216548988 31.858050602475533
59 23.51182864450128 23.487052429667518 67.06 66.45 31.988158829420737 32.049624691446105
60 23.83192135549872 23.990968670076725 66.42 67.36 31.219133168074865 31.32261008257876
61 23.87028452685422 24.026934143222505 65.13 66.42 32.1965910847349 32.05397318762685
62 23.717631074168796 23.798753196930946 67.2 67.32 31.891311414951065 31.94315088813564
63 23.89186381074169 23.970588235294116 66.3 66.6 31.50234118382695 31.51590101048107
64 23.997762148337596 24.052909207161125 67.25 66.9 31.71301361943888 31.60357911146066
65 24.110054347826086 24.06569693094629 67.04 67.0 31.793676322857223 31.851999726873263
66 24.21315537084399 24.207960358056265 66.77 67.87 31.40850111797041 31.291163869364325
67 24.219549232736572 24.386988491048594 67.95 67.63 31.120019650652 30.989043008297408
68 24.504475703324808 24.359814578005114 66.94 67.66 31.24203754075437 31.018982603873972
69 24.576806265984654 24.681106138107417 67.29 67.25 30.75369443313253 30.672036812356858
70 24.532049232736572 24.413762787723787 67.73 66.26 30.989786103395556 30.906867931945825
71 24.67391304347826 24.697090792838875 67.81 68.32 30.753046150677722 30.675808394479144
72 24.733455882352942 24.710677749360613 66.49 67.48 30.484739353287733 30.496056121868126
73 24.77861253196931 24.82376918158568 67.57 68.29 30.739521608283308 30.613572768330318
74 24.775815217391305 25.016384271099746 68.21 68.23 30.457770596796873 30.512854094463894
75 24.853340792838875 24.994804987212277 68.0 66.81 30.34765915309879 30.449677346337605
76 25.180626598465473 25.051950127877237 67.34 67.33 29.790976311755575 29.685924883483576
77 25.128276854219948 25.179427749360613 67.09 67.27 31.091074719353205 31.106461505348086
78 24.996003836317136 25.181825447570333 67.56 67.9 30.014930167326725 30.187938676611015
79 25.127877237851663 25.160246163682864 67.54 68.1 30.392837033083243 30.332510964253576
80 25.443574168797955 25.234175191815858 67.01 68.56 30.42191746648711 30.566491441440025
81 25.36964514066496 25.375239769820972 68.06 65.69 30.176507871459414 30.18350513874078
82 25.651374680306905 25.50471547314578 67.34 68.11 30.021205085535495 30.199053563977323
83 25.742487212276213 25.781649616368288 66.83 64.4 29.48543052368592 29.569831912516555
84 25.748081841432224 25.81921355498721 67.48 67.52 30.025696049638647 30.270067571147433
85 25.65856777493606 25.75647378516624 67.91 68.22 30.42616192404749 30.261233126366704
86 25.841192455242968 25.973065856777495 66.67 67.96 29.355251432101806 29.494217675356314
