epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.02 10.38 10.0 0 0 0
1: 28.75359654731458 28.57696611253197 28.381953324808183 53.0 51.21 52.24 65.45418060200677 65.46850285264615 65.45213456620114
2: 36.81545716112532 36.86980498721228 36.48937020460358 58.87 58.17 60.5 67.12313728432444 67.11684823983994 67.13152267697042
3: 41.29835358056266 42.00487531969309 41.66600063938619 64.68 63.5 64.79 68.80358834623921 68.81863272716295 68.78639476804068
4: 44.14921675191816 44.25631393861892 44.41096547314578 68.34 66.91 67.03 70.55050905919582 70.54830427923288 70.54609949926993
5: 45.90912723785166 45.97106777493606 46.14769820971867 71.31 70.77 71.25 72.41007550861607 72.40328556678324 72.4462885317245
6: 47.41608056265984 47.44325447570333 47.498001918158565 72.75 73.74 73.17 74.36480899285294 74.36945907422937 74.34482712143108
7: 48.18174552429667 48.240888746803066 48.14058503836317 73.61 73.54 73.46 75.69947223247222 75.70802565744738 75.71986614243364
8: 49.47929987212276 49.47170716112532 49.286684782608695 70.26 72.99 72.16 77.79713892245867 77.80688195010448 77.81175346392737
9: 50.26934143222506 50.28332800511509 50.312899616368284 76.99 74.0 76.16 79.96762323855377 79.99269720675996 79.99269720675994
10: 50.862372122762146 50.84398976982097 50.901134910485936 77.18 77.06 77.39 80.0653333584074 80.07536294568989 80.05530377112493
11: 51.783088235294116 51.62523976982097 51.60006393861892 76.22 76.08 74.35 80.02333446166202 80.023334461662 80.06596020761258
12: 52.344149616368284 52.11157289002558 52.084798593350385 77.24 76.73 78.02 80.08789992979293 80.08037773933106 80.0954221202548
13: 52.95716112531969 53.232496803069054 52.80171035805627 77.74 78.72 79.29 80.09150431272253 80.11657828092874 80.09902650318439
14: 53.28364769820972 53.47826086956522 53.262468030690535 81.34 80.0 80.11 80.12449225214387 80.10443307757889 80.11697006168198
15: 53.885070332480815 53.62851662404092 53.82432864450128 80.02 80.2 79.48 80.12308184143224 80.16069279374162 80.17072238102406
16: 54.21155690537084 54.287883631713555 54.117247442455245 75.9 79.63 80.08 80.16656950504 80.15003635725398 80.14651033047507
17: 54.45212595907928 54.65353260869565 54.48209718670077 80.79 80.01 80.06 80.16116293064547 80.17620731156919 80.17119251792795
18: 55.139865728900254 55.055946291560105 55.152253836317136 79.34 79.28 79.84 80.17471854470689 80.1772259415275 80.16970375106564
19: 55.36325127877238 55.385230179028135 55.33048273657289 81.24 79.99 79.43 80.18678539190614 80.1316226618525 80.16672621734118

epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.02 10.38 10.0 0 0 0
1: 28.57257033248082 28.52741368286445 28.309622762148337 52.62 52.74 51.93 65.45213456620115 65.47873303167428 65.45827267361803
2: 36.79187979539642 36.635230179028135 36.59646739130435 58.75 56.31 60.19 67.10636649903239 67.12313728432443 67.1210409361629
3: 41.439418158567776 41.876598465473144 41.689178388746804 64.7 64.26 66.65 68.80573754351403 68.80573754351403 68.79499155713994
4: 44.36141304347826 44.357816496163686 44.41735933503836 68.28 65.88 69.67 70.55050905919585 70.5637377389736 70.55491861912178
5: 46.25 46.06937340153453 46.234814578005114 70.87 72.26 71.47 72.44176190383594 72.43497196200313 72.43044533411455
6: 47.55035166240409 47.59151214833759 47.58192135549872 72.47 73.86 72.52 74.36248395216474 74.36945907422941 74.36248395216471
7: 48.4434942455243 48.45548273657289 48.20572250639386 72.69 74.77 73.53 75.70894462046125 75.7317066274199 75.7113127174585
8: 49.55043158567775 49.44932864450128 49.40417199488491 74.15 71.55 73.73 77.7995746793701 77.81662497775035 77.80201043628155
9: 50.58184143222506 50.19101662404092 50.177429667519185 75.8 76.39 73.97 80.00021939722181 80.00021939722184 80.01526377814557
10: 51.16208439897698 51.039002557544755 50.814418158567776 78.08 75.62 75.46 80.07685171255213 80.09291472343422 80.03524459655992
11: 51.96851023017903 51.74192774936061 51.67679028132992 75.76 78.04 77.63 80.06345281079196 80.08100458853632 80.10858595356314
12: 52.48921035805627 52.3289641943734 52.17830882352941 77.19 76.96 77.59 80.0828851361517 80.05279637430428 80.05530377112483
13: 53.093030690537084 52.99512468030691 53.015105498721226 77.81 79.04 76.43 80.12159307456997 80.11407088410809 80.10905609046686
14: 53.55218989769821 53.5997442455243 53.31162084398977 80.33 80.69 81.07 80.12950704578512 80.11446266486134 80.12198485532325
15: 53.8914641943734 53.82712595907928 53.74080882352941 79.81 80.8 80.07 80.15567800010035 80.14063361917663 80.15317060327975
16: 54.335837595907925 54.200367647058826 54.20915920716113 80.6 79.91 80.3 80.16805827190224 80.17659909232252 80.1324845795097
17: 54.54483695652174 54.6815057544757 54.45412404092072 78.99 80.51 79.89 80.17620731156919 80.13608896243923 80.16617772428668
18: 55.3184942455243 55.136668797953966 55.15145460358056 77.92 79.76 79.35 80.19728511609247 80.16218156060376 80.18224073516872
19: 55.6190057544757 55.48113810741688 55.264945652173914 80.02 80.21 80.62 80.16923361416181 80.15168183641744 80.16672621734116
20: 55.68773976982097 55.702525575447574 55.452365728900254 78.85 79.71 79.28 80.17918484529369 80.15912567072874 80.1691552580112
21: 56.130115089514064 56.27757352941177 56.078564578005114 80.2 80.79 81.02 80.21225114086559 80.20472895040372 80.22729552178936
22: 56.54092071611253 56.15728900255755 56.1261189258312 80.41 80.56 80.26 80.16570758738285 80.15567800010035 80.158185396921
23: 56.58487851662404 56.637627877237854 56.514945652173914 81.99 82.21 82.1 80.18020347525209 80.19524785617583 80.23285880848515
24: 56.91895780051151 56.90377237851662 56.8338395140665 79.66 79.4 79.42 80.1806736121559 80.19571799307963 80.16813662805279
25: 57.28860294117647 57.151134910485936 57.0252557544757 82.51 79.83 80.3 80.16022265683769 80.16022265683769 80.16022265683766
26: 57.43486253196931 57.50559462915601 57.29819373401534 80.26 81.89 80.31 80.19587470538089 80.20590429266338 80.20590429266338
27: 57.65185421994885 57.81489769820972 57.735773657289 81.15 80.1 81.32 80.1742484078031 80.19681497918864 80.18177059826495
28: 58.06106138107417 58.11381074168798 57.989929667519185 80.2 80.32 80.52 80.18028183140271 80.15270046637589 80.17777443458209
29: 58.370764066496164 58.3903452685422 58.27885230179028 81.3 80.83 82.87 80.16821498420342 80.16320019056214 80.1581853969209
30: 58.65009590792839 58.6349104859335 58.49304667519181 80.38 80.73 81.34 80.14619690587232 80.14368950905177 80.15622649315485
31: 58.89625959079284 58.75999040920716 58.52741368286445 81.73 82.56 82.06 80.17127087407856 80.14368950905174 80.128645128128
32: 59.140025575447574 59.17798913043478 58.885070332480815 80.99 80.98 81.78 80.21334812697467 80.1456484128179 80.18576676194783
33: 59.459718670076725 59.35062340153453 59.18478260869565 81.02 80.5 80.76 80.15317060327966 80.15567800010028 80.15669663005862

epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.02 10.38 10.0 0 0 0
1: 28.85350063938619 28.500239769820972 28.20492327365729 52.04 53.42 50.84 65.4500885303955 65.47464096006304 65.4644107810349
2: 36.60725703324808 36.73033887468031 36.367087595907925 56.24 55.4 57.49 67.0979811063864 67.11265554351691 67.1189445880014
3: 41.26318734015345 41.92175511508952 41.38187340153453 60.83 63.5 64.41 68.80573754351403 68.81648352988813 68.7928423598651
4: 44.16959718670077 44.43853900255755 44.20076726342711 68.13 67.78 67.91 70.55271383915877 70.55491861912175 70.54830427923288
5: 46.09055306905371 46.10174232736573 46.27917199488491 70.27 71.41 71.92 72.42365539228174 72.43949858989167 72.44402521778022
6: 47.56713554987212 47.61149296675192 47.44005754475703 73.97 74.01 73.25 74.36110240624859 74.36713403354119 74.35877736556034
7: 48.26446611253197 48.28244884910486 48.260070332480815 72.95 73.46 73.24 75.70420842646675 75.706576523464 75.6938170754639
8: 49.582400895140665 49.42455242966752 49.32904411764706 69.04 74.09 73.89 77.7995746793701 77.78983165172426 77.78252438098987
9: 50.349264705882355 50.30330882352941 50.2297794117647 76.06 75.6 74.49 79.98768241311872 79.98517501629809 79.99018980993931
10: 51.10334079283887 50.937100383631716 50.92311381074169 76.48 76.4 77.96 80.06431472844899 80.06533335840739 80.04778158066304
11: 51.819053708439895 51.715952685421996 51.628037084398976 74.99 77.64 77.06 80.06345281079197 80.09354157263942 80.02834925530323
12: 52.24144820971867 52.36972506393862 52.11876598465473 77.85 77.0 78.94 80.06282596158675 80.08539253297232 80.05530377112484
13: 53.03109015345269 53.01190856777494 52.8212915601023 79.46 77.08 79.22 80.14165224913492 80.12911526503183 80.13914485231432
14: 53.48145780051151 53.41232416879795 53.4462915601023 79.86 80.2 80.17 80.10944787122014 80.09440349029637 80.13953663306762
15: 53.903452685421996 53.90065537084399 53.78156969309463 79.93 79.64 79.13 80.13561882553535 80.14063361917658 80.15066320645909
16: 54.38459079283887 54.199168797953966 54.16240409207161 79.64 79.63 80.19 80.15152512411632 80.13648074319258 80.13146594955134
17: 54.57440856777494 54.59998401534527 54.46731138107417 79.79 79.39 80.56 80.16868512110732 80.15614813700424 80.15113334336297
18: 55.18262468030691 55.02477621483376 55.24736253196931 78.93 79.79 79.77 80.13460019557698 80.18224073516876 80.17471854470685
19: 55.57304987212276 55.45196611253197 55.33887468030691 80.33 80.46 81.71 80.16923361416178 80.15418923323806 80.18177059826489
20: 55.47514386189258 55.578644501278774 55.589833759590796 78.59 80.05 80.42 80.14557005666722 80.17667744847307 80.13507033248092
21: 55.84598785166241 56.03620524296675 56.02261828644501 81.22 80.33 81.37 80.19971415676251 80.18968456948002 80.20222155358313
22: 56.17527173913044 56.040201406649615 56.30634590792839 79.14 80.13 80.2 80.14815580963851 80.14063361917661 80.1356188255354
23: 56.783088235294116 56.68997762148338 56.64921675191816 81.43 79.43 80.12 80.20026264981706 80.19274045935519 80.20778484027895
24: 56.8602141943734 56.83304028132992 56.85022378516624 79.67 77.91 77.52 80.21828456446522 80.21326977082394 80.18568840579714
25: 57.245843989769824 57.05282928388747 57.05802429667519 80.12 80.56 81.28 80.18780402186451 80.16774484729953 80.1702522441201
26: 57.45923913043478 57.42766943734016 57.47562340153453 80.63 80.28 80.87 80.19336730856028 80.18835251491902 80.19587470538086
27: 57.551150895140665 57.73217710997442 57.56234015345269 81.47 81.1 80.91 80.18427799508552 80.1566966300587 80.1918001855474
28: 57.87364130434783 57.79012148337596 57.878037084398976 81.37 80.7 80.48 80.16774484729962 80.15771526001711 80.18278922822334
29: 58.40632992327366 58.161764705882355 58.28764386189258 80.54 81.19 80.29 80.19579634923022 80.16821498420343 80.13311142871471
30: 58.589753836317136 58.58056265984655 58.47906010230179 79.63 80.24 81.65 80.15873388997551 80.15371909633424 80.1512116995136
31: 58.542599104859335 58.86748721227622 58.62372122762148 82.43 82.08 82.07 80.21389662002912 80.19383744546414 80.16625608043732
32: 58.91863810741688 58.88706841432225 58.89785805626598 81.2 80.85 81.77 80.18075196830661 80.19579634923033 80.19830374605094
33: 59.527253836317136 59.28748401534527 59.14402173913044 80.84 80.58 80.24 80.15066320645906 80.13812622235594 80.14314101599719
34: 59.43294437340153 59.50647378516624 59.60557864450128 80.8 77.85 80.89 80.14118211223102 80.18380785818165 80.15622649315479
35: 59.613570971867006 59.68630115089514 59.424952046035806 80.14 79.99 79.33 80.18913607642554 80.13397334637186 80.1665695050399
