epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.02 10.38 10.0 0 0 0
1: 28.740409207161125 28.3371962915601 28.452685421994886 52.44 50.23 52.36 65.4562266378124 65.47464096006303 65.47464096006304
2: 36.58168158567775 36.80187020460358 36.29156010230179 57.93 57.47 58.93 67.12523363248592 67.11894458800141 67.12104093616291
3: 41.19924872122762 41.69277493606138 41.49296675191816 62.76 63.75 62.94 68.80573754351403 68.81863272716294 68.81003593806366
4: 44.200367647058826 44.28628516624041 44.235134271099746 68.51 67.04 66.51 70.53287081949215 70.56594251893657 70.5483042792329
5: 43.01270780051151 42.906809462915604 42.989929667519185 58.14 64.61 64.2 64.23262399846293 64.13575603920012 64.24563368415168
6: 44.63554987212276 44.44493286445013 44.610773657289 69.24 65.51 66.64 64.29830516332005 64.40803775822157 64.32294127615798
7: 45.956281969309465 45.938299232736576 45.869565217391305 70.22 67.91 70.27 63.79350885257342 63.954949238508384 63.87501723180922
8: 47.01766304347826 46.93414322250639 46.84223145780051 68.02 70.6 72.99 64.21899035006001 64.16898931019718 64.15857118148864
9: 48.15337276214834 47.884031329923275 47.939178388746804 72.59 72.66 73.96 64.61808994280071 64.70642632361105 64.60617374775127
10: 48.892263427109974 48.87867647058823 48.91464194373402 74.53 74.3 74.11 64.4227554882486 64.24358571034145 64.19226170991143
11: 49.371003836317136 49.35421994884911 49.166400255754475 76.05 73.27 76.61 63.62659115793048 63.767637114574256 63.864159458336076
12: 50.14825767263427 49.72626278772378 50.137468030690535 76.12 75.76 76.99 64.10440147304601 63.83255987539409 63.964827715099865
13: 50.505115089514064 50.417599104859335 50.46635230179028 77.4 76.83 74.32 63.801281014580226 63.62439404671933 63.77315988323785
14: 51.11852621483376 50.94069693094629 51.0465952685422 76.14 75.78 77.08 63.68370250613565 63.78088460997692 63.54347425447681
15: 51.16847826086956 51.2911604859335 51.29475703324808 76.87 77.7 76.76 63.34914120845799 63.62243087219497 63.31123191056961
16: 51.88059462915601 51.65241368286445 51.95092710997442 76.74 79.41 78.19 63.165044233101185 63.25562710682969 63.53493997438392
